id,pais,region,sexo,edad,ingresos_padres,educ_padres,educ_hijo,ingresos_hijo,ocupacion_hijo
1,España,Castilla-La Mancha,hombre,43,16394.19,Primaria,Primaria,13854.97,Servicios básicos
2,España,País Vasco,mujer,49,20030.37,Secundaria,FP,25867.96,Técnico/a
3,España,La Rioja,mujer,29,15837.25,FP,FP,15512.73,Técnico/a junior
4,España,Extremadura,mujer,32,19943.5,Secundaria,Secundaria,18919.46,Técnico/a junior
5,España,Asturias,mujer,31,18431.99,FP,FP,20980.16,Técnico/a junior
6,España,Asturias,mujer,38,13999.04,Primaria,Sin estudios,12826.58,Servicios básicos
7,España,Andalucía,hombre,48,14210.8,Primaria,Primaria,19258.62,Técnico/a junior
8,España,Murcia,hombre,47,22651.64,FP,FP,21775.83,Técnico/a junior
9,España,Extremadura,hombre,27,20619.31,,FP,24141.56,Técnico/a
10,España,La Rioja,hombre,42,19063.04,FP,Secundaria,19342.29,Técnico/a junior
11,España,Andalucía,hombre,40,12088.25,Sin estudios,Sin estudios,14407.97,Servicios básicos
12,España,País Vasco,hombre,47,22649.02,FP,Universidad,37436.94,Especialista
13,España,Madrid,hombre,43,23993.19,FP,Universidad,33310.59,Especialista
14,España,Baleares,mujer,43,20208.32,FP,Universidad,31545.61,Técnico/a
15,España,Baleares,mujer,42,16443.37,Secundaria,Secundaria,19048.5,Técnico/a junior
16,España,Baleares,mujer,44,14457.42,FP,FP,25405.25,Técnico/a
17,España,Cantabria,hombre,40,14289.48,Secundaria,Secundaria,20474.16,Técnico/a junior
18,España,Comunidad Valenciana,hombre,32,16382.23,Secundaria,Secundaria,21078.63,Técnico/a junior
19,España,Cataluña,mujer,52,21130.13,Universidad,Postgrado,30697.78,Técnico/a
20,España,Cantabria,hombre,25,16891.91,Secundaria,FP,19905.16,Técnico/a junior
21,España,Extremadura,mujer,41,19737.59,,FP,28405.28,Técnico/a
22,España,Asturias,hombre,36,12132.09,Sin estudios,Sin estudios,12433.42,Servicios básicos
23,España,Cantabria,mujer,54,22845.55,FP,FP,30449.12,Técnico/a
24,España,Castilla y León,mujer,45,25304.02,FP,FP,24280.84,Técnico/a
25,España,Cataluña,mujer,35,16557.81,FP,Universidad,28403.73,Técnico/a
26,España,Madrid,mujer,29,15535.79,FP,FP,23167.35,Técnico/a
27,España,Baleares,mujer,51,26161.63,FP,Universidad,31123.77,Técnico/a
28,España,Cataluña,mujer,36,17438.7,Secundaria,FP,21990.17,Técnico/a junior
29,España,Comunidad Valenciana,hombre,41,16166.43,Secundaria,Secundaria,16810.04,Técnico/a junior
30,España,Andalucía,hombre,30,13550.34,Primaria,Sin estudios,15901.23,Técnico/a junior
31,España,Extremadura,mujer,25,17870.76,Secundaria,Primaria,21154.12,Técnico/a junior
32,España,Baleares,hombre,29,15105.54,FP,Universidad,27239.13,Técnico/a
33,España,Andalucía,hombre,49,14883.56,FP,Universidad,23816.11,Técnico/a
34,España,País Vasco,mujer,52,19373.59,,Secundaria,27440.61,Técnico/a
35,España,País Vasco,mujer,38,25859.95,Secundaria,Primaria,23970.76,Técnico/a
36,España,Madrid,mujer,29,18734.6,Secundaria,Primaria,18693.99,Técnico/a junior
37,España,Cantabria,mujer,46,13362.04,Sin estudios,Primaria,12719.53,Servicios básicos
38,España,Aragón,hombre,48,13129.02,Sin estudios,Primaria,20563.82,Técnico/a junior
39,España,Galicia,mujer,51,18962.85,FP,Secundaria,19380.39,Técnico/a junior
40,España,Cataluña,hombre,25,18391.46,Secundaria,Secundaria,20684.29,Técnico/a junior
41,España,Aragón,hombre,54,20930.8,FP,Universidad,25088.49,Técnico/a
42,España,Cataluña,mujer,42,18218.84,Primaria,Primaria,24609.73,Técnico/a
43,España,Andalucía,hombre,40,16992.77,Secundaria,Secundaria,17641.34,Técnico/a junior
44,España,Navarra,mujer,33,19837.49,Secundaria,Secundaria,24393.49,Técnico/a
45,España,Canarias,hombre,43,18621.72,Secundaria,Primaria,17535.37,Técnico/a junior
46,España,Galicia,mujer,46,15277.16,FP,Secundaria,14645.39,Servicios básicos
47,España,Castilla y León,hombre,29,19468.54,,Secundaria,19597.12,Técnico/a junior
48,España,Comunidad Valenciana,hombre,51,18153.32,FP,FP,22474.5,Técnico/a
49,España,Comunidad Valenciana,mujer,26,24062.61,FP,FP,25164.46,Técnico/a
50,España,Baleares,hombre,54,22480.04,,FP,27252.39,Técnico/a
51,España,País Vasco,hombre,39,23502.24,Universidad,Universidad,31238.16,Técnico/a
52,España,Madrid,hombre,31,19159.3,Secundaria,Secundaria,20348.75,Técnico/a junior
53,España,País Vasco,hombre,28,20395.56,FP,FP,26603.27,Técnico/a
54,España,Navarra,hombre,25,18097.48,Secundaria,FP,24454.45,Técnico/a
55,España,Extremadura,mujer,37,18760.93,Secundaria,Secundaria,15323.33,Técnico/a junior
56,España,Navarra,mujer,44,17177.12,Secundaria,Secundaria,24276.42,Técnico/a
57,España,Aragón,hombre,46,15544.82,Secundaria,Primaria,9000.0,Servicios básicos
58,España,Baleares,mujer,31,21637.97,Universidad,Universidad,31425.66,Técnico/a
59,España,Andalucía,hombre,39,14319.61,Secundaria,Secundaria,20075.13,Técnico/a junior
60,España,Castilla y León,hombre,47,19476.17,Secundaria,Secundaria,18652.54,Técnico/a junior
61,España,Castilla-La Mancha,mujer,38,21373.27,FP,FP,16771.71,Técnico/a junior
62,España,Canarias,mujer,47,21501.89,FP,Universidad,27406.55,Técnico/a
63,España,Madrid,hombre,43,18850.89,Primaria,Primaria,21240.7,Técnico/a junior
64,España,Castilla y León,mujer,46,14989.24,Secundaria,Secundaria,14724.64,Servicios básicos
65,España,Cantabria,hombre,53,14325.69,Secundaria,Secundaria,15541.09,Técnico/a junior
66,España,Comunidad Valenciana,mujer,48,16188.69,Secundaria,FP,24968.59,Técnico/a
67,España,Asturias,hombre,44,15234.46,Primaria,Secundaria,19267.39,Técnico/a junior
68,España,Madrid,mujer,53,16424.79,FP,FP,19043.9,Técnico/a junior
69,España,Andalucía,hombre,48,13598.79,Sin estudios,Primaria,17881.91,Técnico/a junior
70,España,País Vasco,mujer,42,26778.76,FP,Universidad,31221.9,Técnico/a
71,España,Madrid,hombre,34,25192.49,Secundaria,Secundaria,23425.35,Técnico/a
72,España,Baleares,mujer,33,11855.03,Sin estudios,Sin estudios,17194.5,Técnico/a junior
73,España,Andalucía,hombre,49,33258.48,Universidad,Postgrado,39466.87,Especialista
74,España,Madrid,hombre,32,27429.74,Secundaria,FP,29127.22,Técnico/a
75,España,Galicia,mujer,50,15699.75,Primaria,Primaria,15393.67,Técnico/a junior
76,España,La Rioja,mujer,54,20374.86,FP,FP,22831.13,Técnico/a
77,España,Madrid,mujer,53,18823.66,Secundaria,FP,22946.3,Técnico/a
78,España,Andalucía,hombre,34,13967.18,Sin estudios,Primaria,20268.25,Técnico/a junior
79,España,Castilla y León,hombre,41,13864.91,Sin estudios,Sin estudios,10011.15,Servicios básicos
80,España,Aragón,hombre,26,20395.93,FP,FP,22876.47,Técnico/a
81,España,Murcia,mujer,30,24854.77,Universidad,Universidad,24568.43,Técnico/a
82,España,Extremadura,mujer,50,21014.57,Universidad,FP,27307.35,Técnico/a
83,España,Castilla y León,hombre,29,30186.08,Universidad,Postgrado,36248.33,Especialista
84,España,Andalucía,hombre,52,15341.79,Secundaria,Secundaria,15205.47,Técnico/a junior
85,España,Cantabria,no_binario,54,15413.53,FP,Universidad,26635.86,Técnico/a
86,España,Castilla y León,mujer,33,14976.59,Secundaria,Secundaria,10717.71,Servicios básicos
87,España,La Rioja,hombre,29,17395.63,Secundaria,FP,23190.49,Técnico/a
88,España,Extremadura,mujer,42,26197.87,Secundaria,FP,30673.24,Técnico/a
89,España,Murcia,mujer,50,22492.32,FP,FP,25404.53,Técnico/a
90,España,Cataluña,hombre,44,17335.12,Secundaria,Secundaria,20404.11,Técnico/a junior
91,España,Aragón,hombre,33,14147.36,FP,FP,16222.63,Técnico/a junior
92,España,La Rioja,no_binario,41,23612.16,FP,Universidad,32749.41,Especialista
93,España,Madrid,mujer,51,16694.93,Primaria,Sin estudios,,Técnico/a junior
94,España,Comunidad Valenciana,mujer,41,15689.77,Primaria,Primaria,14895.59,Servicios básicos
95,España,Madrid,hombre,36,24625.46,Universidad,Universidad,30924.35,Técnico/a
96,España,Cataluña,hombre,31,20180.32,Secundaria,FP,30597.87,Técnico/a
97,España,Comunidad Valenciana,mujer,51,16035.45,Primaria,Sin estudios,18194.21,Técnico/a junior
98,España,Castilla-La Mancha,mujer,27,18828.33,Secundaria,Primaria,12172.43,Servicios básicos
99,España,Andalucía,mujer,34,13197.54,Sin estudios,Sin estudios,14563.1,Servicios básicos
100,España,Aragón,hombre,26,16564.55,FP,FP,20974.59,Técnico/a junior
101,España,Andalucía,mujer,49,15720.6,Secundaria,Secundaria,19940.99,Técnico/a junior
102,España,Extremadura,mujer,27,17782.37,Primaria,Secundaria,20023.23,Técnico/a junior
103,España,Castilla y León,mujer,40,16390.34,FP,FP,19906.24,Técnico/a junior
104,España,Cataluña,mujer,26,15482.89,Secundaria,Primaria,19743.3,Técnico/a junior
105,España,Navarra,mujer,52,19855.0,Secundaria,Secundaria,19367.53,Técnico/a junior
106,España,Canarias,hombre,48,25736.79,FP,FP,38361.0,Especialista
107,España,Castilla-La Mancha,mujer,34,18419.66,,FP,23153.06,Técnico/a
108,España,Madrid,hombre,30,34258.83,FP,Universidad,39252.81,Especialista
109,España,Canarias,mujer,46,12719.48,Sin estudios,Primaria,22401.22,Técnico/a
110,España,Andalucía,hombre,50,14075.61,Primaria,Sin estudios,10808.72,Servicios básicos
